Name,Salary,DurationWorked,Grade,Email,
editedUserJuul8Z,100000,6,2,editedUserjO8taD@example.com
John Doe,50000,12,4,johndoe@example.com
User8348on,90000,5,1,UserbVywks@example.com
editedUseri3OWal,100000,6,2,editedUser6qh0zc@example.com
RMtest,5000,12,1,rmtest@testmail.com
RMtest1,5000,12,1,rmtest@testmail. com
RMtest2,5000,12,1,rmtest@testmail.com
Joe Jill,5000,40,1,Joe.Jill@jpt.com
Joe Jill,5000,40,2,Joe.Jill@jpt.com
DemoUser,10000,8,1,demouser@gmail.com
DemoUser,10000,8,1,demouser@gmail.com
Jane Doe,50000,2,1,jane.doe@example.com
John Doe,50000,12,1,johndoe@example.com
notadmin,50000,2,1,notadmin@example.com
Joe Jill,5000,40,3,Joe.Jill@jpt.com
selinium,1000000,40,4,selenium@gmail.com
selinium,1000000,40,4,selenium@gmail.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser1,100,10,1,AutoUser1@abc.com
Nikhil,100000,24,3,nk@mail.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser1,100,10,1,AutoUser1@abc.com
AutoUser401,100,10,1,AutoUser1@abc.com
AutoUser401,100,10,1,AutoUser1@abc.com
AutoUser401,100,10,1,AutoUser1@abc.com
AutoUser1,20000,11111,2,autotestuser1@gmail.com
